Abbey 9.29.21,Myers FFRR 9.29.21,FFRR,Chow,9.29.21,,,,,,,
,TSE PhenoMaster V7.7.9 (2021-5214),,,,,,,,,,
Box,Animal No.,Weight [g],Text1,Text2,Text3,,,,,,
1,176,29.9,M,G+FFRR, ,,,,,,
2,177,23.9,M,++FFR, ,,,,,,
3,178,33.5,M,G+FFRR, ,,,,,,
4,179,30.7,M,G+FFRR, ,,,,,,
5,180,19.5,F,++FFR, ,,,,,,
6,181,26.1,F,G+FFRR, ,,,,,,
7,401,29.4,M,G+FFR, ,,,,,,
8,402,29.2,M,G+FFR, ,,,,,,
9,403,30.3,M,G+FFR, ,,,,,,
10,404,20.7,M,++FFR, ,,,,,,
11,405,23.9,M,G+FFR br, ,,,,,,
12,697,22.9,M,++FFR, ,,,,,,
13,698,24.1,M,++FFR, ,,,,,,
14,699,27.7,M,G+FFRR, ,,,,,,
15,700,20.1,M,++FFR, ,,,,,,
16,701,26.6,F,G+FFRR, ,,,,,,
17,702,18.5,F,G+FFRR, ,,,,,,
18,705,17.5,F,++FFR, ,,,,,,
19,706,15.8,F,++FFR, ,,,,,,
,,,,,,,,,,,
Date Time,Animal No.,Box,VO2(3),VCO2(3),RER,H(3),XT+YT,XA,YA,Drink,Feed1
,,,[ml/h],[ml/h],,[kcal/h],[Cnt],[Cnt],[Cnt],[ml],[g]
9/29/2021 14:19,176,1,62,54,0.882,0.302,5188,2240,1944,0.02,0.09
9/29/2021 14:34,176,1,65,58,0.903,0.32,5061,1913,2168,0.03,0.14
9/29/2021 14:49,176,1,64,62,0.96,0.322,5240,1981,2311,0.05,0.19
9/29/2021 15:04,176,1,53,51,0.97,0.266,4576,1396,2353,0.06,0.3
9/29/2021 15:19,176,1,53,52,0.988,0.266,3794,1360,1549,0.15,0.45
9/29/2021 15:34,176,1,58,57,0.977,0.292,4006,1212,1933,0.25,0.49
9/29/2021 15:49,176,1,52,52,1.007,0.262,2598,810,1263,0.27,0.52
9/29/2021 16:04,176,1,46,43,0.94,0.228,664,91,287,0.27,0.55
9/29/2021 16:19,176,1,45,43,0.939,0.225,35,3,5,0.27,0.55
9/29/2021 16:34,176,1,39,34,0.891,0.19,84,4,6,0.27,0.55
9/29/2021 16:49,176,1,51,47,0.917,0.254,2761,799,1535,0.33,0.6
9/29/2021 17:04,176,1,57,56,0.977,0.288,3872,1208,1878,0.53,0.83
9/29/2021 17:19,176,1,55,54,0.978,0.278,3295,685,1982,0.73,1.01
9/29/2021 17:34,176,1,57,56,0.982,0.287,1445,196,778,0.83,1.02
9/29/2021 17:49,176,1,45,44,0.978,0.224,77,3,34,0.86,1.02
9/29/2021 18:04,176,1,36,35,0.956,0.18,48,0,15,0.86,1.02
9/29/2021 18:19,176,1,47,45,0.961,0.233,4947,1538,2591,0.87,1.12
9/29/2021 18:34,176,1,58,56,0.973,0.29,5486,1813,2673,1.07,1.42
9/29/2021 18:49,176,1,59,58,0.994,0.296,3338,887,1662,1.17,1.53
9/29/2021 19:04,176,1,57,57,0.998,0.288,2699,625,1426,1.39,1.66
9/29/2021 19:19,176,1,57,56,0.978,0.286,5179,1818,2445,1.49,1.89
9/29/2021 19:34,176,1,60,61,1.014,0.303,5083,2340,1700,1.76,1.92
9/29/2021 19:49,176,1,59,59,1.002,0.297,3864,1224,1752,1.93,2.03
9/29/2021 20:04,176,1,58,57,0.989,0.292,3759,1115,1805,2.02,2.1
9/29/2021 20:19,176,1,58,60,1.028,0.295,852,231,316,2.17,2.11
